Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Afghanistan,AFG,"Population ages 80 and above, female",SP.POP.80UP.FE,67339
Afghanistan,AFG,"Population ages 80 and above, male",SP.POP.80UP.MA,43502
Afghanistan,AFG,"Population, total",SP.POP.TOTL,42239854
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,21319695
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,20920159
Africa Eastern and Southern,AFE,"Population ages 80 and above, female",SP.POP.80UP.FE,1968846
Africa Eastern and Southern,AFE,"Population ages 80 and above, male",SP.POP.80UP.MA,1102378
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,739112053
Africa Eastern and Southern,AFE,"Population, male",SP.POP.TOTL.MA.IN,366124984
Africa Eastern and Southern,AFE,"Population, female",SP.POP.TOTL.FE.IN,372987069
Africa Western and Central,AFW,"Population ages 80 and above, female",SP.POP.80UP.FE,934638
Africa Western and Central,AFW,"Population ages 80 and above, male",SP.POP.80UP.MA,705335
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,502789511
Africa Western and Central,AFW,"Population, male",SP.POP.TOTL.MA.IN,252803314
Africa Western and Central,AFW,"Population, female",SP.POP.TOTL.FE.IN,249986197
Albania,ALB,"Population ages 80 and above, female",SP.POP.80UP.FE,55051
Albania,ALB,"Population ages 80 and above, male",SP.POP.80UP.MA,46084
Albania,ALB,"Population, total",SP.POP.TOTL,2768265
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1378918
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1389347
Algeria,DZA,"Population ages 80 and above, female",SP.POP.80UP.FE,268893
Algeria,DZA,"Population ages 80 and above, male",SP.POP.80UP.MA,213911
Algeria,DZA,"Population, total",SP.POP.TOTL,45606480
Algeria,DZA,"Population, male",SP.POP.TOTL.MA.IN,23217161
Algeria,DZA,"Population, female",SP.POP.TOTL.FE.IN,22389320
American Samoa,ASM,"Population ages 80 and above, female",SP.POP.80UP.FE,212
American Samoa,ASM,"Population ages 80 and above, male",SP.POP.80UP.MA,118
American Samoa,ASM,"Population, total",SP.POP.TOTL,43914
American Samoa,ASM,"Population, male",SP.POP.TOTL.MA.IN,21685
American Samoa,ASM,"Population, female",SP.POP.TOTL.FE.IN,22230
Andorra,AND,"Population ages 80 and above, female",SP.POP.80UP.FE,1776
Andorra,AND,"Population ages 80 and above, male",SP.POP.80UP.MA,1178
Andorra,AND,"Population, total",SP.POP.TOTL,80088
Andorra,AND,"Population, male",SP.POP.TOTL.MA.IN,40903
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,39185
Angola,AGO,"Population ages 80 and above, female",SP.POP.80UP.FE,73373
Angola,AGO,"Population ages 80 and above, male",SP.POP.80UP.MA,42668
Angola,AGO,"Population, total",SP.POP.TOTL,36684202
Angola,AGO,"Population, male",SP.POP.TOTL.MA.IN,18135546
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,18548657
Antigua and Barbuda,ATG,"Population ages 80 and above, female",SP.POP.80UP.FE,1251
Antigua and Barbuda,ATG,"Population ages 80 and above, male",SP.POP.80UP.MA,670
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,94298
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,45051
Antigua and Barbuda,ATG,"Population, female",SP.POP.TOTL.FE.IN,49246
Arab World,ARB,"Population ages 80 and above, female",SP.POP.80UP.FE,1770315
Arab World,ARB,"Population ages 80 and above, male",SP.POP.80UP.MA,1127337
Arab World,ARB,"Population, total",SP.POP.TOTL,473265558
Arab World,ARB,"Population, male",SP.POP.TOTL.MA.IN,244394554
Arab World,ARB,"Population, female",SP.POP.TOTL.FE.IN,228871007
Argentina,ARG,"Population ages 80 and above, female",SP.POP.80UP.FE,931010
Argentina,ARG,"Population ages 80 and above, male",SP.POP.80UP.MA,419963
Argentina,ARG,"Population, total",SP.POP.TOTL,46519252
Argentina,ARG,"Population, male",SP.POP.TOTL.MA.IN,23032189
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,23487063
Armenia,ARM,"Population ages 80 and above, female",SP.POP.80UP.FE,61817
Armenia,ARM,"Population ages 80 and above, male",SP.POP.80UP.MA,16438
Armenia,ARM,"Population, total",SP.POP.TOTL,2777970
Armenia,ARM,"Population, male",SP.POP.TOTL.MA.IN,1249091
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,1528880
Aruba,ABW,"Population ages 80 and above, female",SP.POP.80UP.FE,1736
Aruba,ABW,"Population ages 80 and above, male",SP.POP.80UP.MA,854
Aruba,ABW,"Population, total",SP.POP.TOTL,106277
Aruba,ABW,"Population, male",SP.POP.TOTL.MA.IN,50052
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,56225
Australia,AUS,"Population ages 80 and above, female",SP.POP.80UP.FE,658415
Australia,AUS,"Population ages 80 and above, male",SP.POP.80UP.MA,500474
Australia,AUS,"Population, total",SP.POP.TOTL,26256970
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,13039463
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,13217507
Austria,AUT,"Population ages 80 and above, female",SP.POP.80UP.FE,338874
Austria,AUT,"Population ages 80 and above, male",SP.POP.80UP.MA,213630
Austria,AUT,"Population, total",SP.POP.TOTL,9055536
Austria,AUT,"Population, male",SP.POP.TOTL.MA.IN,4460198
Austria,AUT,"Population, female",SP.POP.TOTL.FE.IN,4595339
Azerbaijan,AZE,"Population ages 80 and above, female",SP.POP.80UP.FE,73372
Azerbaijan,AZE,"Population ages 80 and above, male",SP.POP.80UP.MA,34843
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10195755
Azerbaijan,AZE,"Population, male",SP.POP.TOTL.MA.IN,5032239
Azerbaijan,AZE,"Population, female",SP.POP.TOTL.FE.IN,5163517
"Bahamas, The",BHS,"Population ages 80 and above, female",SP.POP.80UP.FE,4608
"Bahamas, The",BHS,"Population ages 80 and above, male",SP.POP.80UP.MA,2601
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,412623
"Bahamas, The",BHS,"Population, male",SP.POP.TOTL.MA.IN,196863
"Bahamas, The",BHS,"Population, female",SP.POP.TOTL.FE.IN,215761
Bahrain,BHR,"Population ages 80 and above, female",SP.POP.80UP.FE,4054
Bahrain,BHR,"Population ages 80 and above, male",SP.POP.80UP.MA,3344
Bahrain,BHR,"Population, total",SP.POP.TOTL,1485509
Bahrain,BHR,"Population, male",SP.POP.TOTL.MA.IN,918619
Bahrain,BHR,"Population, female",SP.POP.TOTL.FE.IN,566890
Bangladesh,BGD,"Population ages 80 and above, female",SP.POP.80UP.FE,896189
Bangladesh,BGD,"Population ages 80 and above, male",SP.POP.80UP.MA,700954
Bangladesh,BGD,"Population, total",SP.POP.TOTL,172954319
Bangladesh,BGD,"Population, male",SP.POP.TOTL.MA.IN,85672234
Bangladesh,BGD,"Population, female",SP.POP.TOTL.FE.IN,87282086
Barbados,BRB,"Population ages 80 and above, female",SP.POP.80UP.FE,5368
Barbados,BRB,"Population ages 80 and above, male",SP.POP.80UP.MA,3336
Barbados,BRB,"Population, total",SP.POP.TOTL,281995
Barbados,BRB,"Population, male",SP.POP.TOTL.MA.IN,135285
Barbados,BRB,"Population, female",SP.POP.TOTL.FE.IN,146710
Belarus,BLR,"Population ages 80 and above, female",SP.POP.80UP.FE,263852
Belarus,BLR,"Population ages 80 and above, male",SP.POP.80UP.MA,74635
Belarus,BLR,"Population, total",SP.POP.TOTL,9187054
Belarus,BLR,"Population, male",SP.POP.TOTL.MA.IN,4227127
Belarus,BLR,"Population, female",SP.POP.TOTL.FE.IN,4959927
Belgium,BEL,"Population ages 80 and above, female",SP.POP.80UP.FE,405348
Belgium,BEL,"Population ages 80 and above, male",SP.POP.80UP.MA,248499
Belgium,BEL,"Population, total",SP.POP.TOTL,11714453
Belgium,BEL,"Population, male",SP.POP.TOTL.MA.IN,5791083
Belgium,BEL,"Population, female",SP.POP.TOTL.FE.IN,5923370
Belize,BLZ,"Population ages 80 and above, female",SP.POP.80UP.FE,1968
Belize,BLZ,"Population ages 80 and above, male",SP.POP.80UP.MA,1668
Belize,BLZ,"Population, total",SP.POP.TOTL,410825
Belize,BLZ,"Population, male",SP.POP.TOTL.MA.IN,206461
Belize,BLZ,"Population, female",SP.POP.TOTL.FE.IN,204364
Benin,BEN,"Population ages 80 and above, female",SP.POP.80UP.FE,32844
Benin,BEN,"Population ages 80 and above, male",SP.POP.80UP.MA,21109
Benin,BEN,"Population, total",SP.POP.TOTL,13712828
Benin,BEN,"Population, male",SP.POP.TOTL.MA.IN,6870720
Benin,BEN,"Population, female",SP.POP.TOTL.FE.IN,6842109
Bermuda,BMU,"Population ages 80 and above, female",SP.POP.80UP.FE,..
Bermuda,BMU,"Population ages 80 and above, male",SP.POP.80UP.MA,..
Bermuda,BMU,"Population, total",SP.POP.TOTL,..
Bermuda,BMU,"Population, male",SP.POP.TOTL.MA.IN,..
Bermuda,BMU,"Population, female",SP.POP.TOTL.FE.IN,..
Bhutan,BTN,"Population ages 80 and above, female",SP.POP.80UP.FE,4450
Bhutan,BTN,"Population ages 80 and above, male",SP.POP.80UP.MA,3847
Bhutan,BTN,"Population, total",SP.POP.TOTL,787424
Bhutan,BTN,"Population, male",SP.POP.TOTL.MA.IN,416196
Bhutan,BTN,"Population, female",SP.POP.TOTL.FE.IN,371228
Bolivia,BOL,"Population ages 80 and above, female",SP.POP.80UP.FE,49074
Bolivia,BOL,"Population ages 80 and above, male",SP.POP.80UP.MA,27910
Bolivia,BOL,"Population, total",SP.POP.TOTL,12388571
Bolivia,BOL,"Population, male",SP.POP.TOTL.MA.IN,6206083
Bolivia,BOL,"Population, female",SP.POP.TOTL.FE.IN,6182488
Bosnia and Herzegovina,BIH,"Population ages 80 and above, female",SP.POP.80UP.FE,74322
Bosnia and Herzegovina,BIH,"Population ages 80 and above, male",SP.POP.80UP.MA,46805
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3210847
Bosnia and Herzegovina,BIH,"Population, male",SP.POP.TOTL.MA.IN,1580360
Bosnia and Herzegovina,BIH,"Population, female",SP.POP.TOTL.FE.IN,1630487
Botswana,BWA,"Population ages 80 and above, female",SP.POP.80UP.FE,8736
Botswana,BWA,"Population ages 80 and above, male",SP.POP.80UP.MA,4859
Botswana,BWA,"Population, total",SP.POP.TOTL,2675352
Botswana,BWA,"Population, male",SP.POP.TOTL.MA.IN,1321662
Botswana,BWA,"Population, female",SP.POP.TOTL.FE.IN,1353690
Brazil,BRA,"Population ages 80 and above, female",SP.POP.80UP.FE,2363043
Brazil,BRA,"Population ages 80 and above, male",SP.POP.80UP.MA,1375607
Brazil,BRA,"Population, total",SP.POP.TOTL,216422446
Brazil,BRA,"Population, male",SP.POP.TOTL.MA.IN,106241115
Brazil,BRA,"Population, female",SP.POP.TOTL.FE.IN,110181331
British Virgin Islands,VGB,"Population ages 80 and above, female",SP.POP.80UP.FE,234
British Virgin Islands,VGB,"Population ages 80 and above, male",SP.POP.80UP.MA,155
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,31538
British Virgin Islands,VGB,"Population, male",SP.POP.TOTL.MA.IN,15197
British Virgin Islands,VGB,"Population, female",SP.POP.TOTL.FE.IN,16340
Brunei Darussalam,BRN,"Population ages 80 and above, female",SP.POP.80UP.FE,2134
Brunei Darussalam,BRN,"Population ages 80 and above, male",SP.POP.80UP.MA,1404
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,452524
Brunei Darussalam,BRN,"Population, male",SP.POP.TOTL.MA.IN,233894
Brunei Darussalam,BRN,"Population, female",SP.POP.TOTL.FE.IN,218629
Bulgaria,BGR,"Population ages 80 and above, female",SP.POP.80UP.FE,213506
Bulgaria,BGR,"Population ages 80 and above, male",SP.POP.80UP.MA,111213
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6386070
Bulgaria,BGR,"Population, male",SP.POP.TOTL.MA.IN,3096925
Bulgaria,BGR,"Population, female",SP.POP.TOTL.FE.IN,3289145
Burkina Faso,BFA,"Population ages 80 and above, female",SP.POP.80UP.FE,36245
Burkina Faso,BFA,"Population ages 80 and above, male",SP.POP.80UP.MA,19897
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,23251485
Burkina Faso,BFA,"Population, male",SP.POP.TOTL.MA.IN,11588745
Burkina Faso,BFA,"Population, female",SP.POP.TOTL.FE.IN,11662740
Burundi,BDI,"Population ages 80 and above, female",SP.POP.80UP.FE,23044
Burundi,BDI,"Population ages 80 and above, male",SP.POP.80UP.MA,13532
Burundi,BDI,"Population, total",SP.POP.TOTL,13238559
Burundi,BDI,"Population, male",SP.POP.TOTL.MA.IN,6575319
Burundi,BDI,"Population, female",SP.POP.TOTL.FE.IN,6663239
Cabo Verde,CPV,"Population ages 80 and above, female",SP.POP.80UP.FE,6015
Cabo Verde,CPV,"Population ages 80 and above, male",SP.POP.80UP.MA,2079
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,598682
Cabo Verde,CPV,"Population, male",SP.POP.TOTL.MA.IN,297646
Cabo Verde,CPV,"Population, female",SP.POP.TOTL.FE.IN,301036
Cambodia,KHM,"Population ages 80 and above, female",SP.POP.80UP.FE,80941
Cambodia,KHM,"Population ages 80 and above, male",SP.POP.80UP.MA,41935
Cambodia,KHM,"Population, total",SP.POP.TOTL,16944826
Cambodia,KHM,"Population, male",SP.POP.TOTL.MA.IN,8384561
Cambodia,KHM,"Population, female",SP.POP.TOTL.FE.IN,8560264
Cameroon,CMR,"Population ages 80 and above, female",SP.POP.80UP.FE,60619
Cameroon,CMR,"Population ages 80 and above, male",SP.POP.80UP.MA,44836
Cameroon,CMR,"Population, total",SP.POP.TOTL,28647293
Cameroon,CMR,"Population, male",SP.POP.TOTL.MA.IN,14289697
Cameroon,CMR,"Population, female",SP.POP.TOTL.FE.IN,14357596
Canada,CAN,"Population ages 80 and above, female",SP.POP.80UP.FE,1093769
Canada,CAN,"Population ages 80 and above, male",SP.POP.80UP.MA,769958
Canada,CAN,"Population, total",SP.POP.TOTL,39244168
Canada,CAN,"Population, male",SP.POP.TOTL.MA.IN,19504921
Canada,CAN,"Population, female",SP.POP.TOTL.FE.IN,19739248
Caribbean small states,CSS,"Population ages 80 and above, female",SP.POP.80UP.FE,67990
Caribbean small states,CSS,"Population ages 80 and above, male",SP.POP.80UP.MA,42032
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7528219
Caribbean small states,CSS,"Population, male",SP.POP.TOTL.MA.IN,3713929
Caribbean small states,CSS,"Population, female",SP.POP.TOTL.FE.IN,3814291
Cayman Islands,CYM,"Population ages 80 and above, female",SP.POP.80UP.FE,513
Cayman Islands,CYM,"Population ages 80 and above, male",SP.POP.80UP.MA,352
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,69310
Cayman Islands,CYM,"Population, male",SP.POP.TOTL.MA.IN,34943
Cayman Islands,CYM,"Population, female",SP.POP.TOTL.FE.IN,34367
Central African Republic,CAF,"Population ages 80 and above, female",SP.POP.80UP.FE,7282
Central African Republic,CAF,"Population ages 80 and above, male",SP.POP.80UP.MA,5631
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5742315
Central African Republic,CAF,"Population, male",SP.POP.TOTL.MA.IN,2869330
Central African Republic,CAF,"Population, female",SP.POP.TOTL.FE.IN,2872985
Central Europe and the Baltics,CEB,"Population ages 80 and above, female",SP.POP.80UP.FE,2972607
Central Europe and the Baltics,CEB,"Population ages 80 and above, male",SP.POP.80UP.MA,1380638
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,98398413
Central Europe and the Baltics,CEB,"Population, male",SP.POP.TOTL.MA.IN,47708101
Central Europe and the Baltics,CEB,"Population, female",SP.POP.TOTL.FE.IN,50690310
Chad,TCD,"Population ages 80 and above, female",SP.POP.80UP.FE,21597
Chad,TCD,"Population ages 80 and above, male",SP.POP.80UP.MA,14892
Chad,TCD,"Population, total",SP.POP.TOTL,18278568
Chad,TCD,"Population, male",SP.POP.TOTL.MA.IN,9174497
Chad,TCD,"Population, female",SP.POP.TOTL.FE.IN,9104070
Channel Islands,CHI,"Population ages 80 and above, female",SP.POP.80UP.FE,4482
Channel Islands,CHI,"Population ages 80 and above, male",SP.POP.80UP.MA,2949
Channel Islands,CHI,"Population, total",SP.POP.TOTL,175346
Channel Islands,CHI,"Population, male",SP.POP.TOTL.MA.IN,86797
Channel Islands,CHI,"Population, female",SP.POP.TOTL.FE.IN,88549
Chile,CHL,"Population ages 80 and above, female",SP.POP.80UP.FE,370815
Chile,CHL,"Population ages 80 and above, male",SP.POP.80UP.MA,234810
Chile,CHL,"Population, total",SP.POP.TOTL,19629590
Chile,CHL,"Population, male",SP.POP.TOTL.MA.IN,9741974
Chile,CHL,"Population, female",SP.POP.TOTL.FE.IN,9887616
China,CHN,"Population ages 80 and above, female",SP.POP.80UP.FE,21313186
China,CHN,"Population ages 80 and above, male",SP.POP.80UP.MA,13568731
China,CHN,"Population, total",SP.POP.TOTL,1411878144
China,CHN,"Population, male",SP.POP.TOTL.MA.IN,720137493
China,CHN,"Population, female",SP.POP.TOTL.FE.IN,691740650
Colombia,COL,"Population ages 80 and above, female",SP.POP.80UP.FE,496736
Colombia,COL,"Population ages 80 and above, male",SP.POP.80UP.MA,309044
Colombia,COL,"Population, total",SP.POP.TOTL,52085168
Colombia,COL,"Population, male",SP.POP.TOTL.MA.IN,25668667
Colombia,COL,"Population, female",SP.POP.TOTL.FE.IN,26416500
Comoros,COM,"Population ages 80 and above, female",SP.POP.80UP.FE,2938
Comoros,COM,"Population ages 80 and above, male",SP.POP.80UP.MA,2133
Comoros,COM,"Population, total",SP.POP.TOTL,852075
Comoros,COM,"Population, male",SP.POP.TOTL.MA.IN,428132
Comoros,COM,"Population, female",SP.POP.TOTL.FE.IN,423943
"Congo, Dem. Rep.",COD,"Population ages 80 and above, female",SP.POP.80UP.FE,216275
"Congo, Dem. Rep.",COD,"Population ages 80 and above, male",SP.POP.80UP.MA,142916
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,102262808
"Congo, Dem. Rep.",COD,"Population, male",SP.POP.TOTL.MA.IN,50732478
"Congo, Dem. Rep.",COD,"Population, female",SP.POP.TOTL.FE.IN,51530330
"Congo, Rep.",COG,"Population ages 80 and above, female",SP.POP.80UP.FE,11465
"Congo, Rep.",COG,"Population ages 80 and above, male",SP.POP.80UP.MA,7719
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,6106869
"Congo, Rep.",COG,"Population, male",SP.POP.TOTL.MA.IN,3049941
"Congo, Rep.",COG,"Population, female",SP.POP.TOTL.FE.IN,3056928
Costa Rica,CRI,"Population ages 80 and above, female",SP.POP.80UP.FE,66272
Costa Rica,CRI,"Population ages 80 and above, male",SP.POP.80UP.MA,46680
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5212173
Costa Rica,CRI,"Population, male",SP.POP.TOTL.MA.IN,2605235
Costa Rica,CRI,"Population, female",SP.POP.TOTL.FE.IN,2606939
Cote d'Ivoire,CIV,"Population ages 80 and above, female",SP.POP.80UP.FE,51954
Cote d'Ivoire,CIV,"Population ages 80 and above, male",SP.POP.80UP.MA,43177
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,28873034
Cote d'Ivoire,CIV,"Population, male",SP.POP.TOTL.MA.IN,14569031
Cote d'Ivoire,CIV,"Population, female",SP.POP.TOTL.FE.IN,14304003
Croatia,HRV,"Population ages 80 and above, female",SP.POP.80UP.FE,150504
Croatia,HRV,"Population ages 80 and above, male",SP.POP.80UP.MA,75633
Croatia,HRV,"Population, total",SP.POP.TOTL,3834139
Croatia,HRV,"Population, male",SP.POP.TOTL.MA.IN,1868630
Croatia,HRV,"Population, female",SP.POP.TOTL.FE.IN,1965509
Cuba,CUB,"Population ages 80 and above, female",SP.POP.80UP.FE,257732
Cuba,CUB,"Population ages 80 and above, male",SP.POP.80UP.MA,181992
Cuba,CUB,"Population, total",SP.POP.TOTL,11194449
Cuba,CUB,"Population, male",SP.POP.TOTL.MA.IN,5551684
Cuba,CUB,"Population, female",SP.POP.TOTL.FE.IN,5642765
Curacao,CUW,"Population ages 80 and above, female",SP.POP.80UP.FE,2830
Curacao,CUW,"Population ages 80 and above, male",SP.POP.80UP.MA,1194
Curacao,CUW,"Population, total",SP.POP.TOTL,150768
Curacao,CUW,"Population, male",SP.POP.TOTL.MA.IN,72329
Curacao,CUW,"Population, female",SP.POP.TOTL.FE.IN,78439
Cyprus,CYP,"Population ages 80 and above, female",SP.POP.80UP.FE,26777
Cyprus,CYP,"Population ages 80 and above, male",SP.POP.80UP.MA,18588
Cyprus,CYP,"Population, total",SP.POP.TOTL,1260138
Cyprus,CYP,"Population, male",SP.POP.TOTL.MA.IN,631148
Cyprus,CYP,"Population, female",SP.POP.TOTL.FE.IN,628990
Czechia,CZE,"Population ages 80 and above, female",SP.POP.80UP.FE,314741
Czechia,CZE,"Population ages 80 and above, male",SP.POP.80UP.MA,162127
Czechia,CZE,"Population, total",SP.POP.TOTL,10680324
Czechia,CZE,"Population, male",SP.POP.TOTL.MA.IN,5266961
Czechia,CZE,"Population, female",SP.POP.TOTL.FE.IN,5413363
Denmark,DNK,"Population ages 80 and above, female",SP.POP.80UP.FE,185629
Denmark,DNK,"Population ages 80 and above, male",SP.POP.80UP.MA,129094
Denmark,DNK,"Population, total",SP.POP.TOTL,5928585
Denmark,DNK,"Population, male",SP.POP.TOTL.MA.IN,2949804
Denmark,DNK,"Population, female",SP.POP.TOTL.FE.IN,2978781
Djibouti,DJI,"Population ages 80 and above, female",SP.POP.80UP.FE,3851
Djibouti,DJI,"Population ages 80 and above, male",SP.POP.80UP.MA,2576
Djibouti,DJI,"Population, total",SP.POP.TOTL,1136455
Djibouti,DJI,"Population, male",SP.POP.TOTL.MA.IN,563824
Djibouti,DJI,"Population, female",SP.POP.TOTL.FE.IN,572630
Dominica,DMA,"Population ages 80 and above, female",SP.POP.80UP.FE,849
Dominica,DMA,"Population ages 80 and above, male",SP.POP.80UP.MA,463
Dominica,DMA,"Population, total",SP.POP.TOTL,73040
Dominica,DMA,"Population, male",SP.POP.TOTL.MA.IN,36282
Dominica,DMA,"Population, female",SP.POP.TOTL.FE.IN,36758
Dominican Republic,DOM,"Population ages 80 and above, female",SP.POP.80UP.FE,103136
Dominican Republic,DOM,"Population ages 80 and above, male",SP.POP.80UP.MA,70653
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,11332972
Dominican Republic,DOM,"Population, male",SP.POP.TOTL.MA.IN,5683423
Dominican Republic,DOM,"Population, female",SP.POP.TOTL.FE.IN,5649550
Early-demographic dividend,EAR,"Population ages 80 and above, female",SP.POP.80UP.FE,20598887
Early-demographic dividend,EAR,"Population ages 80 and above, male",SP.POP.80UP.MA,13688514
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3485971283
Early-demographic dividend,EAR,"Population, male",SP.POP.TOTL.MA.IN,1768301436
Early-demographic dividend,EAR,"Population, female",SP.POP.TOTL.FE.IN,1717669847
East Asia & Pacific,EAS,"Population ages 80 and above, female",SP.POP.80UP.FE,39157977
East Asia & Pacific,EAS,"Population ages 80 and above, male",SP.POP.80UP.MA,23904060
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2380459880
East Asia & Pacific,EAS,"Population, male",SP.POP.TOTL.MA.IN,1202645230
East Asia & Pacific,EAS,"Population, female",SP.POP.TOTL.FE.IN,1177814649
East Asia & Pacific (excluding high income),EAP,"Population ages 80 and above, female",SP.POP.80UP.FE,27516028
East Asia & Pacific (excluding high income),EAP,"Population ages 80 and above, male",SP.POP.80UP.MA,16919905
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2134838443
East Asia & Pacific (excluding high income),EAP,"Population, male",SP.POP.TOTL.MA.IN,1082049491
East Asia & Pacific (excluding high income),EAP,"Population, female",SP.POP.TOTL.FE.IN,1052788950
East Asia & Pacific (IDA & IBRD countries),TEA,"Population ages 80 and above, female",SP.POP.80UP.FE,27044364
East Asia & Pacific (IDA & IBRD countries),TEA,"Population ages 80 and above, male",SP.POP.80UP.MA,16722955
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2108690402
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, male",SP.POP.TOTL.MA.IN,1069095272
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, female",SP.POP.TOTL.FE.IN,1039595127
Ecuador,ECU,"Population ages 80 and above, female",SP.POP.80UP.FE,173741
Ecuador,ECU,"Population ages 80 and above, male",SP.POP.80UP.MA,114509
Ecuador,ECU,"Population, total",SP.POP.TOTL,18190484
Ecuador,ECU,"Population, male",SP.POP.TOTL.MA.IN,9078518
Ecuador,ECU,"Population, female",SP.POP.TOTL.FE.IN,9111966
